order_id,order_date,customer,product,category,region,quantity,unit_price,discount,sales,profit
ORD01384,2024-01-01,Customer 0846,Pen Set,Office Supplies,South,7,375.18,0.0,2626.26,534.5
ORD06891,2024-01-01,Customer 0385,Monitor,Technology,East,1,25792.88,0.0,25792.88,2313.62
ORD09201,2024-01-01,Customer 0320,Monitor,Technology,North,7,22838.07,0.0,159866.48,36285.05
ORD08166,2024-01-01,Customer 0056,Printer,Office Supplies,South,4,14242.35,0.05,54120.95,12709.09
ORD06573,2024-01-01,Customer 0438,Notebook,Office Supplies,South,5,261.12,0.0,1305.6,275.5
ORD04458,2024-01-01,Customer 0792,Bookshelf,Furniture,East,7,5513.3,0.05,36663.43,7564.11
ORD00307,2024-01-01,Customer 0924,Desk,Furniture,South,3,23869.73,0.0,71609.18,12259.3
ORD01494,2024-01-01,Customer 0293,Desk,Furniture,East,3,15630.37,0.1,42202.01,7139.81
ORD04727,2024-01-01,Customer 0728,Monitor,Technology,North,4,26016.02,0.0,104064.1,15016.79
ORD04250,2024-01-01,Customer 0118,Monitor,Technology,North,1,27603.8,0.05,26223.61,5451.86
ORD01068,2024-01-01,Customer 0234,Smartphone,Technology,East,2,52039.4,0.15,88466.98,10032.23
ORD10351,2024-01-01,Customer 1103,Bookshelf,Furniture,East,1,9992.17,0.1,8992.95,828.14
ORD05607,2024-01-01,Customer 0217,Keyboard,Technology,South,4,1920.71,0.05,7298.71,1216.12
ORD05992,2024-01-02,Customer 0260,Printer,Office Supplies,South,1,14411.37,0.0,14411.37,3514.43
ORD03486,2024-01-02,Customer 0558,Smartphone,Technology,West,1,55246.71,0.05,52484.37,7146.91
ORD00136,2024-01-02,Customer 1192,Monitor,Technology,North,4,21354.22,0.0,85416.89,19096.51
ORD02086,2024-01-02,Customer 0310,Pen Set,Office Supplies,North,4,591.56,0.05,2247.94,572.19
ORD04719,2024-01-02,Customer 0396,Printer,Office Supplies,West,1,17142.62,0.0,17142.62,4402.92
ORD00130,2024-01-02,Customer 0743,Office Chair,Furniture,West,4,6697.04,0.1,24109.33,5228.8
ORD10970,2024-01-02,Customer 0249,Keyboard,Technology,East,5,2973.73,0.05,14125.21,1758.71
ORD03202,2024-01-02,Customer 0368,Smartphone,Technology,West,6,63102.45,0.1,340753.22,40401.9
ORD06395,2024-01-02,Customer 1030,Bookshelf,Furniture,East,7,12447.54,0.0,87132.76,11813.27
ORD02798,2024-01-02,Customer 0622,Bookshelf,Furniture,North,5,9390.13,0.0,46950.63,3965.9
ORD02634,2024-01-02,Customer 0862,Laptop,Technology,West,5,74792.47,0.05,355264.24,84582.72
ORD09250,2024-01-02,Customer 0043,Notebook,Office Supplies,West,7,396.85,0.1,2500.13,748.34
ORD07727,2024-01-02,Customer 0098,Laptop,Technology,South,4,81602.36,0.1,293768.5,42925.17
ORD00720,2024-01-02,Customer 1122,Monitor,Technology,East,4,24605.76,0.1,88580.73,12712.46
ORD01703,2024-01-02,Customer 0845,Printer,Office Supplies,East,2,14556.53,0.05,27657.4,3318.95
ORD06848,2024-01-02,Customer 0945,Pen Set,Office Supplies,North,2,508.49,0.0,1016.98,294.58
ORD08222,2024-01-02,Customer 0245,Desk,Furniture,East,6,12532.78,0.05,71436.82,10858.27
ORD05188,2024-01-02,Customer 0739,Laptop,Technology,South,5,72417.34,0.0,362086.7,86133.4
ORD11783,2024-01-02,Customer 0551,Keyboard,Technology,East,4,3064.0,0.1,11030.4,1291.16
ORD04271,2024-01-02,Customer 0267,Smartphone,Technology,East,3,28874.8,0.05,82293.17,6990.65
ORD09738,2024-01-02,Customer 0866,Desk,Furniture,West,1,29832.21,0.0,29832.21,5620.36
ORD04135,2024-01-02,Customer 0708,Smartphone,Technology,West,1,27905.63,0.0,27905.63,2786.72
ORD00384,2024-01-02,Customer 1139,Printer,Office Supplies,West,7,17860.55,0.05,118772.67,24643.92
ORD05289,2024-01-02,Customer 0712,Laptop,Technology,South,1,87105.28,0.0,87105.28,15342.62
ORD09952,2024-01-02,Customer 0205,Smartphone,Technology,South,5,36350.29,0.05,172663.86,32567.38
ORD11721,2024-01-02,Customer 0532,Monitor,Technology,North,5,20962.12,0.05,99570.06,16901.13
ORD04338,2024-01-02,Customer 0092,Bookshelf,Furniture,South,7,9405.61,0.05,62547.29,6377.47
ORD05440,2024-01-02,Customer 1030,Notebook,Office Supplies,South,6,323.83,0.0,1942.95,545.18
ORD04468,2024-01-02,Customer 0361,Printer,Office Supplies,West,3,5376.54,0.05,15323.14,3008.67
ORD10207,2024-01-02,Customer 0696,Notebook,Office Supplies,South,5,454.42,0.0,2272.1,409.33
ORD10667,2024-01-02,Customer 1128,Notebook,Office Supplies,North,3,81.25,0.15,207.18,46.22
ORD03764,2024-01-02,Customer 0072,Monitor,Technology,West,3,25924.35,0.15,66107.09,13953.03
ORD10705,2024-01-02,Customer 0327,Desk,Furniture,South,6,21114.43,0.0,126686.58,21698.1
ORD08496,2024-01-02,Customer 0512,Keyboard,Technology,North,2,3651.97,0.0,7303.94,1577.25
ORD03743,2024-01-02,Customer 0155,Keyboard,Technology,South,7,3994.73,0.0,27963.11,3357.22
ORD05290,2024-01-02,Customer 0494,Keyboard,Technology,East,7,2464.04,0.15,14661.01,2773.27
ORD08286,2024-01-02,Customer 0081,Office Chair,Furniture,West,4,17450.07,0.1,62820.24,6068.78
ORD10390,2024-01-03,Customer 0643,Monitor,Technology,West,6,18889.6,0.05,107670.71,13292.71
ORD06584,2024-01-03,Customer 0841,Keyboard,Technology,South,4,2278.94,0.05,8659.98,958.12
ORD04531,2024-01-03,Customer 0849,Notebook,Office Supplies,East,4,458.82,0.0,1835.3,503.4
ORD00100,2024-01-03,Customer 0844,Desk,Furniture,South,2,21576.7,0.15,36680.4,6575.23
ORD05743,2024-01-03,Customer 0182,Printer,Office Supplies,South,3,7037.75,0.05,20057.6,2783.7
ORD11111,2024-01-03,Customer 0370,Desk,Furniture,North,4,10251.17,0.0,41004.69,9682.47
ORD11103,2024-01-03,Customer 0104,Laptop,Technology,West,7,79017.4,0.05,525465.7,76579.2
ORD10969,2024-01-03,Customer 0673,Pen Set,Office Supplies,South,7,631.52,0.15,3757.53,736.91
ORD06095,2024-01-03,Customer 0634,Keyboard,Technology,South,2,2505.22,0.05,4759.93,887.81
ORD03918,2024-01-03,Customer 1134,Laptop,Technology,South,5,82119.63,0.1,369538.36,47567.92
ORD03357,2024-01-03,Customer 0703,Monitor,Technology,North,6,19954.36,0.0,119726.16,9703.52
ORD09849,2024-01-03,Customer 0652,Smartphone,Technology,East,2,31444.07,0.15,53454.92,8378.01
ORD09811,2024-01-03,Customer 0650,Pen Set,Office Supplies,East,7,747.43,0.15,4447.21,1085.24
ORD06529,2024-01-03,Customer 1098,Office Chair,Furniture,South,4,13612.55,0.0,54450.19,8909.68
ORD02903,2024-01-03,Customer 0790,Desk,Furniture,South,4,17080.25,0.0,68320.98,14005.62
ORD02805,2024-01-03,Customer 0856,Pen Set,Office Supplies,East,5,109.62,0.1,493.27,117.03
ORD11362,2024-01-03,Customer 1098,Office Chair,Furniture,East,4,15939.48,0.0,63757.93,8271.41
ORD07848,2024-01-03,Customer 0964,Notebook,Office Supplies,North,6,102.56,0.1,553.81,106.85
ORD11642,2024-01-03,Customer 0183,Laptop,Technology,North,7,78196.93,0.0,547378.52,128609.12
ORD01691,2024-01-03,Customer 0386,Printer,Office Supplies,West,5,7342.09,0.05,34874.92,9965.51
ORD07516,2024-01-03,Customer 0998,Laptop,Technology,West,1,80445.31,0.1,72400.78,7925.95
ORD07846,2024-01-03,Customer 1067,Keyboard,Technology,East,2,3513.29,0.05,6675.24,606.91
ORD01488,2024-01-03,Customer 0529,Monitor,Technology,South,5,19516.78,0.1,87825.49,20555.48
ORD09150,2024-01-03,Customer 0203,Office Chair,Furniture,West,1,10851.64,0.1,9766.47,1230.52
ORD00574,2024-01-03,Customer 0317,Office Chair,Furniture,East,3,7036.09,0.0,21108.27,2919.23
ORD01406,2024-01-03,Customer 1059,Smartphone,Technology,North,4,48328.23,0.1,173981.63,35743.23
ORD08947,2024-01-03,Customer 0846,Laptop,Technology,South,4,81260.89,0.0,325043.58,38821.87
ORD00578,2024-01-03,Customer 0902,Keyboard,Technology,South,6,3754.87,0.05,21402.79,2743.86
ORD09196,2024-01-04,Customer 0500,Bookshelf,Furniture,West,7,6262.27,0.1,39452.29,5430.94
ORD04034,2024-01-04,Customer 1103,Printer,Office Supplies,North,4,14561.07,0.05,55332.07,7289.8
ORD07353,2024-01-04,Customer 0896,Printer,Office Supplies,North,7,8380.72,0.0,58665.06,8888.8
ORD06797,2024-01-04,Customer 0882,Smartphone,Technology,West,7,50824.58,0.1,320194.84,61179.73
ORD05310,2024-01-04,Customer 0113,Printer,Office Supplies,North,1,10798.86,0.05,10258.91,2972.78
ORD01692,2024-01-04,Customer 0501,Notebook,Office Supplies,North,3,363.91,0.05,1037.13,292.01
ORD07683,2024-01-04,Customer 1047,Pen Set,Office Supplies,West,1,113.99,0.1,102.59,15.06
ORD06368,2024-01-04,Customer 0725,Printer,Office Supplies,South,7,8420.94,0.0,58946.55,8519.18
ORD01003,2024-01-04,Customer 0145,Pen Set,Office Supplies,East,4,141.07,0.0,564.27,151.33
ORD10674,2024-01-04,Customer 0922,Keyboard,Technology,East,2,1736.24,0.0,3472.48,777.68
ORD07765,2024-01-04,Customer 0032,Printer,Office Supplies,South,6,7438.27,0.0,44629.64,12097.29
ORD00090,2024-01-04,Customer 0631,Keyboard,Technology,North,6,1489.5,0.0,8937.03,1910.81
ORD07887,2024-01-04,Customer 0616,Keyboard,Technology,North,2,3884.31,0.05,7380.18,916.87
ORD01347,2024-01-04,Customer 1175,Notebook,Office Supplies,South,4,495.41,0.0,1981.63,457.26
ORD05661,2024-01-04,Customer 0496,Office Chair,Furniture,South,1,14272.9,0.05,13559.25,2934.31
ORD01862,2024-01-04,Customer 0874,Printer,Office Supplies,West,1,18394.43,0.0,18394.43,4553.37
ORD02107,2024-01-04,Customer 0631,Bookshelf,Furniture,West,6,8642.19,0.05,49260.47,8011.0
ORD05193,2024-01-04,Customer 0479,Printer,Office Supplies,North,6,5922.71,0.05,33759.47,6709.14
ORD06159,2024-01-04,Customer 0233,Printer,Office Supplies,South,6,20158.56,0.05,114903.81,21068.6
ORD05041,2024-01-04,Customer 0466,Notebook,Office Supplies,North,1,408.89,0.15,347.56,51.39
ORD09347,2024-01-04,Customer 0065,Laptop,Technology,South,1,71060.65,0.05,67507.62,14535.73
ORD01240,2024-01-04,Customer 0108,Printer,Office Supplies,South,7,11081.79,0.0,77572.55,22103.71
ORD11318,2024-01-04,Customer 0031,Laptop,Technology,North,1,56575.48,0.0,56575.48,8546.12
ORD04351,2024-01-04,Customer 0354,Desk,Furniture,West,6,17244.45,0.0,103466.68,22792.59
ORD11332,2024-01-04,Customer 1049,Keyboard,Technology,East,2,2047.42,0.1,3685.36,839.95
ORD04277,2024-01-04,Customer 0370,Pen Set,Office Supplies,South,6,636.56,0.0,3819.39,993.36
ORD10364,2024-01-04,Customer 0005,Keyboard,Technology,North,7,3201.86,0.05,21292.35,3308.19
ORD02481,2024-01-04,Customer 0102,Monitor,Technology,West,5,13705.87,0.1,61676.39,11738.46
ORD04262,2024-01-04,Customer 0318,Laptop,Technology,South,7,63267.81,0.1,398587.18,47913.24
ORD04724,2024-01-04,Customer 0815,Bookshelf,Furniture,East,7,11414.48,0.05,75906.29,15122.22
ORD06700,2024-01-04,Customer 0149,Desk,Furniture,South,5,17471.05,0.0,87355.24,14638.94
ORD08194,2024-01-04,Customer 0189,Bookshelf,Furniture,West,6,11492.74,0.1,62060.78,12750.36
ORD05028,2024-01-04,Customer 0177,Keyboard,Technology,South,5,2036.81,0.0,10184.05,872.32
ORD02978,2024-01-04,Customer 1097,Smartphone,Technology,East,6,46140.11,0.0,276840.64,30764.51
ORD09960,2024-01-05,Customer 0294,Keyboard,Technology,East,5,4312.33,0.05,20483.58,3948.23
ORD04991,2024-01-05,Customer 1099,Smartphone,Technology,North,1,27936.89,0.05,26540.04,5476.53
ORD07883,2024-01-05,Customer 0601,Monitor,Technology,South,7,27343.81,0.1,172265.99,29796.12
ORD10095,2024-01-05,Customer 0724,Bookshelf,Furniture,North,2,10175.07,0.0,20350.15,3639.16
ORD08877,2024-01-05,Customer 0227,Notebook,Office Supplies,South,2,332.86,0.15,565.86,169.72
ORD08378,2024-01-05,Customer 0381,Smartphone,Technology,West,6,62236.65,0.1,336077.91,74268.42
ORD11732,2024-01-05,Customer 1021,Monitor,Technology,South,7,17407.33,0.1,109666.19,26162.41
ORD05139,2024-01-05,Customer 0581,Monitor,Technology,West,6,14047.29,0.05,80069.56,15271.33
ORD00424,2024-01-05,Customer 0609,Keyboard,Technology,South,3,2473.16,0.0,7419.48,890.13
ORD05405,2024-01-05,Customer 0103,Smartphone,Technology,North,1,26400.25,0.0,26400.25,6197.51
ORD00885,2024-01-05,Customer 1199,Smartphone,Technology,East,1,31843.82,0.0,31843.82,3983.11
ORD00454,2024-01-05,Customer 0615,Office Chair,Furniture,East,4,15400.54,0.05,58522.05,8524.01
ORD01105,2024-01-05,Customer 0771,Bookshelf,Furniture,West,7,9621.65,0.0,67351.55,12930.92
ORD10791,2024-01-05,Customer 1157,Notebook,Office Supplies,North,6,481.88,0.0,2891.26,539.1
ORD03083,2024-01-05,Customer 0395,Monitor,Technology,West,5,23132.73,0.0,115663.63,21120.58
ORD03035,2024-01-05,Customer 1003,Notebook,Office Supplies,South,1,466.38,0.0,466.38,58.56
ORD07350,2024-01-05,Customer 0858,Bookshelf,Furniture,South,7,9863.15,0.0,69042.08,14288.27
ORD09082,2024-01-05,Customer 0187,Smartphone,Technology,South,5,56440.55,0.15,239872.35,49256.95
ORD06093,2024-01-05,Customer 0493,Office Chair,Furniture,East,2,6141.89,0.0,12283.79,2258.88
ORD02392,2024-01-05,Customer 1173,Bookshelf,Furniture,West,7,12556.21,0.0,87893.47,17591.15
ORD01013,2024-01-05,Customer 0974,Office Chair,Furniture,North,1,11566.8,0.05,10988.46,1508.02
ORD09660,2024-01-05,Customer 0056,Smartphone,Technology,North,5,60447.0,0.0,302234.99,64612.51
ORD02032,2024-01-05,Customer 0177,Smartphone,Technology,North,1,23446.45,0.05,22274.13,2267.86
ORD11119,2024-01-05,Customer 0327,Laptop,Technology,South,1,64787.67,0.0,64787.67,11381.42
ORD02436,2024-01-05,Customer 0411,Notebook,Office Supplies,South,5,201.18,0.1,905.33,115.98
ORD06807,2024-01-05,Customer 0954,Bookshelf,Furniture,West,6,10203.21,0.05,58158.28,12521.81
ORD02492,2024-01-05,Customer 0975,Monitor,Technology,South,3,18879.32,0.1,50974.17,9832.11
ORD03521,2024-01-05,Customer 0638,Monitor,Technology,South,6,19618.34,0.15,100053.51,21510.02
ORD02829,2024-01-05,Customer 0913,Desk,Furniture,East,7,29282.96,0.1,184482.67,17326.35
ORD00141,2024-01-05,Customer 0625,Pen Set,Office Supplies,West,3,385.57,0.0,1156.72,324.04
ORD05007,2024-01-06,Customer 0441,Bookshelf,Furniture,South,2,11649.39,0.1,20968.9,3784.63
ORD10435,2024-01-06,Customer 0334,Office Chair,Furniture,West,5,12489.75,0.05,59326.3,5781.99
ORD03039,2024-01-06,Customer 0096,Pen Set,Office Supplies,West,6,336.8,0.1,1818.72,463.44
ORD04241,2024-01-06,Customer 0705,Notebook,Office Supplies,North,4,230.67,0.05,876.55,206.2
ORD08738,2024-01-06,Customer 0977,Office Chair,Furniture,South,5,8703.95,0.15,36991.8,5451.91
ORD04885,2024-01-06,Customer 0760,Desk,Furniture,West,7,7249.15,0.05,48206.86,5071.65
ORD09352,2024-01-06,Customer 0189,Pen Set,Office Supplies,North,1,611.68,0.0,611.68,163.61
ORD08689,2024-01-06,Customer 1050,Bookshelf,Furniture,North,4,10234.63,0.1,36844.66,7869.42
ORD00338,2024-01-06,Customer 0548,Office Chair,Furniture,South,3,9819.97,0.1,26513.92,3723.99
ORD06388,2024-01-06,Customer 0482,Smartphone,Technology,South,7,31366.11,0.05,208584.62,18762.98
ORD09362,2024-01-06,Customer 1150,Bookshelf,Furniture,West,7,12154.25,0.0,85079.72,7080.88
ORD02445,2024-01-06,Customer 0067,Smartphone,Technology,South,2,56858.96,0.0,113717.92,13044.88
ORD09428,2024-01-06,Customer 0461,Keyboard,Technology,East,3,2043.16,0.0,6129.49,1307.03
ORD03070,2024-01-06,Customer 0320,Desk,Furniture,South,2,22789.74,0.1,41021.53,3954.05
ORD05191,2024-01-06,Customer 0205,Pen Set,Office Supplies,North,7,178.62,0.05,1187.82,227.43
ORD08158,2024-01-06,Customer 0636,Laptop,Technology,East,3,66075.54,0.05,188315.29,42796.44
ORD05441,2024-01-06,Customer 0912,Smartphone,Technology,West,5,24879.68,0.0,124398.42,28885.02
ORD00035,2024-01-06,Customer 0159,Pen Set,Office Supplies,South,2,574.36,0.0,1148.72,242.54
ORD01677,2024-01-06,Customer 0884,Bookshelf,Furniture,South,6,13703.14,0.1,73996.96,11650.96
ORD10031,2024-01-06,Customer 0184,Smartphone,Technology,East,6,33822.21,0.05,192786.61,45412.54
ORD03931,2024-01-06,Customer 0404,Laptop,Technology,South,3,71232.7,0.0,213698.09,36429.29
ORD07873,2024-01-06,Customer 0178,Desk,Furniture,East,7,9326.48,0.0,65285.37,6659.5
ORD01917,2024-01-06,Customer 0641,Pen Set,Office Supplies,West,2,375.72,0.05,713.86,152.48
ORD03744,2024-01-06,Customer 0770,Keyboard,Technology,West,7,3216.88,0.05,21392.23,4682.52
ORD11401,2024-01-06,Customer 0824,Notebook,Office Supplies,East,2,446.98,0.1,804.57,194.51
ORD09958,2024-01-06,Customer 0726,Desk,Furniture,North,4,10423.14,0.1,37523.3,5950.56
ORD06111,2024-01-06,Customer 0633,Office Chair,Furniture,West,5,15992.98,0.05,75966.66,8516.37
ORD02372,2024-01-06,Customer 0930,Notebook,Office Supplies,South,7,231.24,0.15,1375.89,219.21
ORD06857,2024-01-06,Customer 0789,Pen Set,Office Supplies,East,1,690.22,0.05,655.7,159.92
ORD09779,2024-01-06,Customer 0420,Smartphone,Technology,South,5,51509.95,0.0,257549.77,55626.76
ORD08815,2024-01-06,Customer 0781,Notebook,Office Supplies,South,5,381.72,0.05,1813.18,351.73
ORD03512,2024-01-06,Customer 0227,Notebook,Office Supplies,North,7,346.84,0.1,2185.11,287.24
ORD07806,2024-01-07,Customer 0565,Laptop,Technology,West,4,87494.91,0.1,314981.67,45324.11
ORD05615,2024-01-07,Customer 0900,Bookshelf,Furniture,East,2,11231.11,0.1,20216.0,4204.74
ORD07277,2024-01-07,Customer 0628,Monitor,Technology,West,7,12144.85,0.0,85013.95,11567.07
ORD08711,2024-01-07,Customer 0433,Laptop,Technology,South,7,78654.25,0.1,495521.77,57159.71
ORD07611,2024-01-07,Customer 0225,Laptop,Technology,South,4,77792.25,0.05,295610.56,63081.61
ORD09578,2024-01-07,Customer 0478,Smartphone,Technology,North,7,37005.86,0.0,259041.03,39089.17
ORD08150,2024-01-07,Customer 0373,Smartphone,Technology,South,3,46783.65,0.1,126315.84,24516.51
ORD00751,2024-01-07,Customer 0742,Office Chair,Furniture,South,6,10715.34,0.0,64292.04,9232.07
ORD09772,2024-01-07,Customer 0864,Keyboard,Technology,North,2,2867.94,0.05,5449.08,1059.66
ORD01264,2024-01-07,Customer 0311,Notebook,Office Supplies,South,1,435.71,0.0,435.71,114.29
ORD01126,2024-01-07,Customer 0933,Smartphone,Technology,South,1,60768.92,0.05,57730.48,5371.1
ORD03829,2024-01-07,Customer 0035,Desk,Furniture,South,3,16311.8,0.05,46488.62,4655.59
ORD03767,2024-01-07,Customer 0668,Notebook,Office Supplies,West,4,351.72,0.1,1266.19,294.75
ORD04011,2024-01-07,Customer 0313,Keyboard,Technology,West,4,1688.62,0.1,6079.02,1213.74
ORD01101,2024-01-07,Customer 0327,Desk,Furniture,North,7,10676.84,0.1,67264.12,6517.68
ORD01867,2024-01-07,Customer 0199,Laptop,Technology,North,4,58428.3,0.1,210341.89,20870.53
ORD02180,2024-01-07,Customer 0591,Monitor,Technology,West,1,24507.19,0.1,22056.47,5271.34
ORD02289,2024-01-07,Customer 0739,Notebook,Office Supplies,West,6,256.96,0.05,1464.7,375.61
ORD11406,2024-01-07,Customer 0880,Keyboard,Technology,South,2,1550.75,0.1,2791.35,476.79
ORD03169,2024-01-07,Customer 0112,Desk,Furniture,East,7,22437.09,0.05,149206.64,27231.28
ORD11683,2024-01-07,Customer 1127,Pen Set,Office Supplies,North,5,446.07,0.1,2007.31,380.24
ORD11309,2024-01-07,Customer 0846,Smartphone,Technology,North,4,62182.56,0.0,248730.23,25625.16
ORD01312,2024-01-07,Customer 0707,Keyboard,Technology,North,6,3399.18,0.0,20395.09,1773.01
ORD11951,2024-01-07,Customer 0464,Smartphone,Technology,East,2,33195.45,0.05,63071.35,12747.08
ORD06422,2024-01-08,Customer 0435,Monitor,Technology,South,5,13779.64,0.0,68898.22,5781.47
ORD02631,2024-01-08,Customer 0594,Desk,Furniture,East,1,11952.29,0.05,11354.68,931.61
ORD03765,2024-01-08,Customer 0995,Notebook,Office Supplies,East,4,308.91,0.05,1173.85,240.32
ORD08884,2024-01-08,Customer 0541,Office Chair,Furniture,South,1,13017.72,0.0,13017.72,2872.64
ORD05763,2024-01-08,Customer 0665,Notebook,Office Supplies,South,1,346.38,0.0,346.38,61.14
ORD11627,2024-01-08,Customer 0426,Office Chair,Furniture,East,2,11857.41,0.1,21343.34,2949.19
ORD09322,2024-01-08,Customer 0324,Office Chair,Furniture,South,3,14915.01,0.0,44745.04,3761.7
ORD05995,2024-01-08,Customer 0779,Pen Set,Office Supplies,South,6,313.5,0.05,1786.93,493.67
ORD07179,2024-01-08,Customer 0908,Laptop,Technology,West,1,66637.54,0.0,66637.54,7088.47
ORD09182,2024-01-08,Customer 0456,Smartphone,Technology,South,1,19650.53,0.05,18668.0,2851.59
ORD02773,2024-01-08,Customer 0672,Keyboard,Technology,North,6,2340.98,0.15,11939.01,2499.92
ORD00635,2024-01-08,Customer 0800,Monitor,Technology,North,4,22073.37,0.15,75049.45,15588.29
ORD07340,2024-01-08,Customer 0363,Office Chair,Furniture,North,5,11139.65,0.05,52913.33,9049.24
ORD03154,2024-01-08,Customer 1115,Notebook,Office Supplies,South,1,114.58,0.1,103.12,15.99
ORD10632,2024-01-08,Customer 0239,Printer,Office Supplies,South,3,14915.48,0.05,42509.12,8288.57
ORD09161,2024-01-08,Customer 0758,Keyboard,Technology,West,1,2895.97,0.05,2751.17,550.14
ORD06268,2024-01-08,Customer 0797,Desk,Furniture,North,3,7477.38,0.0,22432.13,4222.23
ORD06389,2024-01-08,Customer 0318,Notebook,Office Supplies,East,1,368.34,0.1,331.51,76.24
ORD11065,2024-01-08,Customer 0681,Monitor,Technology,North,5,14716.34,0.1,66223.51,12736.67
ORD07192,2024-01-08,Customer 0733,Smartphone,Technology,South,6,56539.82,0.1,305315.01,28000.09
ORD02726,2024-01-08,Customer 0332,Laptop,Technology,South,5,86247.13,0.1,388112.06,56156.6
ORD08903,2024-01-08,Customer 1074,Keyboard,Technology,East,2,1150.4,0.0,2300.8,333.51
ORD09247,2024-01-08,Customer 1093,Bookshelf,Furniture,South,2,9103.32,0.05,17296.31,2341.2
ORD08691,2024-01-08,Customer 0467,Smartphone,Technology,East,3,42823.33,0.05,122046.5,15298.42
ORD04530,2024-01-08,Customer 0071,Office Chair,Furniture,South,5,6755.56,0.1,30400.04,4400.63
ORD08271,2024-01-08,Customer 0826,Laptop,Technology,West,5,75305.23,0.05,357699.83,47090.98
ORD04742,2024-01-08,Customer 0663,Keyboard,Technology,South,5,3071.54,0.05,14589.81,1798.49
ORD08828,2024-01-08,Customer 0303,Bookshelf,Furniture,North,6,4620.36,0.05,26336.05,2289.93
ORD00175,2024-01-08,Customer 0238,Keyboard,Technology,South,6,3701.35,0.1,19987.26,2387.86
ORD01213,2024-01-08,Customer 0852,Keyboard,Technology,South,6,3624.63,0.05,20660.42,3823.85
ORD09520,2024-01-09,Customer 0910,Office Chair,Furniture,West,5,17111.75,0.05,81280.83,9829.08
ORD11815,2024-01-09,Customer 0707,Desk,Furniture,East,1,17829.53,0.0,17829.53,4095.59
ORD08246,2024-01-09,Customer 0833,Notebook,Office Supplies,West,6,446.12,0.05,2542.9,754.41
ORD11112,2024-01-09,Customer 0941,Laptop,Technology,East,7,89351.86,0.05,594189.85,76498.63
ORD07544,2024-01-09,Customer 0898,Bookshelf,Furniture,East,3,10104.36,0.0,30313.09,2927.45
ORD02261,2024-01-09,Customer 0953,Smartphone,Technology,North,2,35692.91,0.05,67816.53,13445.92
ORD04435,2024-01-09,Customer 0252,Pen Set,Office Supplies,West,3,579.62,0.05,1651.91,292.98
ORD03289,2024-01-09,Customer 0740,Pen Set,Office Supplies,West,4,253.3,0.0,1013.2,296.14
ORD00015,2024-01-09,Customer 0867,Keyboard,Technology,North,6,2562.76,0.0,15376.55,2462.82
ORD05032,2024-01-09,Customer 0811,Printer,Office Supplies,South,6,21372.04,0.1,115409.02,16300.3
ORD11038,2024-01-09,Customer 0914,Printer,Office Supplies,East,1,11202.95,0.1,10082.65,2534.72
ORD06410,2024-01-09,Customer 0409,Pen Set,Office Supplies,North,7,559.76,0.05,3722.4,460.37
ORD00179,2024-01-09,Customer 1051,Desk,Furniture,South,5,21035.23,0.05,99917.35,22956.01
